user_id,session_id,subscription_type,user_journey
1516,2980231,annual,"Log in-Other,Log in-Log in,Log in-Log in,Log in-Log in,Log in-Log in,Log in-Log in,Log in-Log in,Log in-Log in,Homepage-Log in"
1516,2980248,annual,"Log in-Log in,Log in-Log in,Sign up-Sign up,Sign up-Sign up,Other-Sign up,Log in-Log in"
1516,2992252,annual,"Log in-Log in,Log in-Log in,Log in-Log in"
1516,3070491,annual,"Log in-Log in,Log in-Log in,Homepage-Log in,Log in-Log in,Log in-Log in"
1516,3709807,annual,"Log in-Log in,Log in-Log in,Log in-Log in,Log in-Log in,Log in-Log in,Log in-Log in,Log in-Log in"
1516,3723132,annual,"Checkout-Checkout,Checkout-Checkout"
1516,3723365,annual,"Checkout-Checkout,Checkout-Checkout,Checkout-Checkout"
1516,3723382,annual,"Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout"
1516,3723427,annual,Checkout-Checkout
1516,3723483,annual,Coupoun-Coupoun
1516,3723508,annual,"Checkout-Checkout,Checkout-Checkout"
1516,3724778,annual,"Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout"
1516,3726160,annual,Checkout-Checkout
3395,3645805,annual,"Sign up-Log in,Log in-Log in,Pricing-Sign up"
3395,3657408,annual,Homepage-Pricing
3395,3712148,annual,Pricing-Checkout
3395,3713857,annual,"Checkout-Checkout,Checkout-Checkout,Checkout-Checkout"
10107,3653049,annual,"Resources centre-Resources centre,Resources centre-Other,Homepage-Resources centre"
10107,3655508,annual,"Homepage-Career Tracks,Career Tracks-Career Tracks"
10107,3655510,annual,"Career Tracks-Courses,Career Tracks-Career Tracks,Career Tracks-Career Tracks,Career Tracks-Courses"
10107,3655968,annual,"Log in-Log in,Log in-Log in,Log in-Log in,Career Tracks-Log in"
10107,3656751,annual,"Log in-Log in,Log in-Log in,Log in-Log in,Homepage-Log in"
10107,3656761,annual,Checkout-Checkout
10107,3657001,annual,"Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout"
10107,3657036,annual,"Log in-Log in,Log in-Log in,Log in-Log in,Log in-Log in,Log in-Log in"
10107,3657049,annual,Checkout-Checkout
10107,3657083,annual,"Log in-Log in,Log in-Log in,Log in-Log in,Log in-Log in,Log in-Log in"
10107,3657114,annual,"Log in-Log in,Log in-Log in,Log in-Log in,Log in-Log in,Log in-Log in,Log in-Log in,Log in-Log in,Log in-Log in"
10107,3657143,annual,Checkout-Checkout
10107,3657160,annual,Checkout-Checkout
10107,3657165,annual,Checkout-Checkout
11145,3604036,monthly,"Log in-Log in,Homepage-Log in"
11145,3616619,monthly,"Log in-Log in"
11145,3663283,monthly,"Homepage-Log in,Log in-Log in"
11145,3732821,monthly,"Log in-Log in,Log in-Log in,Homepage-Log in"
11145,3762550,monthly,"Log in-Log in,Homepage-Log in"
11145,3820355,monthly,"Log in-Log in,Homepage-Log in"
11145,3824728,monthly,"Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout"
12400,3981254,monthly,"Homepage-Career Tracks,Career Tracks-Career Tracks,Career Tracks-Sign up,Sign up-Log in,Log in-Log in,Log in-Log in"
12400,3981424,monthly,"Resources centre-Resources centre,Other-Career track certificate,Career track certificate-Resources centre,Resources centre-Resources centre,Resources centre-Resources centre"
12400,4007641,monthly,"Log in-Log in,Homepage-Log in,instructors-Homepage,Homepage-instructors"
12400,4007777,monthly,Checkout-Checkout
13082,4082241,monthly,"Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout"
13082,4170113,monthly,"Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout"
13082,4170146,monthly,Checkout-Checkout
13082,4179007,monthly,"Sign up-Sign up,Log in-Log in,Sign up-Sign up,Homepage-Sign up"
13082,4179383,monthly,Checkout-Checkout
14415,3592143,monthly,"Pricing-Sign up,Sign up-Sign up,Pricing-Sign up,Sign up-Sign up"
14415,3666190,monthly,"Homepage-Log in,Log in-Log in"
14415,3722839,monthly,"Log in-Log in,Log in-Log in,Log in-Log in,Log in-Log in,Log in-Log in,Log in-Log in"
14415,3828098,monthly,Checkout-Checkout
14415,3828133,monthly,"Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout"
15630,2840652,annual,"Checkout-Checkout,Checkout-Checkout"
15630,3092839,annual,"Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout"
15630,3525204,annual,"Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Pricing-Checkout"
15630,4227640,annual,"Other-Other,Other-Other,Other-Other,Other-Other,Other-Other,Other-Other,Other-Other,Other-Other,Other-Other,Other-Other,Other-Other,Other-Other,Other-Other"
15630,4227849,annual,"Homepage-Log in,Log in-Log in"
15630,4227990,annual,"Checkout-Checkout,Checkout-Checkout"
15630,4691158,annual,Coupoun-Coupoun
15630,4714040,annual,"Log in-Log in,Homepage-Log in"
15630,4745433,annual,"Checkout-Checkout,Checkout-Checkout,Checkout-Checkout"
15630,4793691,annual,"Checkout-Checkout,Checkout-Checkout"
16589,3493454,quarterly,"Career Tracks-Career Tracks,Career Tracks-Career Tracks,Homepage-Career Tracks,Homepage-Career Tracks,Pricing-Pricing,Sign up-Sign up,Homepage-Homepage,Homepage-Homepage,Career Tracks-Career Tracks,Homepage-Homepage,Homepage-Homepage,Career Tracks-Career Tracks,Homepage-Homepage,Pricing-Sign up,Homepage-Homepage,Homepage-Career Tracks,Homepage-Pricing,Homepage-Homepage,Sign up-Sign up,Homepage-Career Tracks,Pricing-Pricing,Pricing-Pricing"
16589,3503180,quarterly,"Sign up-Sign up,Sign up-Sign up,Homepage-Sign up"
16589,3528526,quarterly,Checkout-Checkout
20355,4283897,monthly,"Pricing-Pricing,Pricing-Pricing,Career track certificate-Pricing,Courses-Courses,Courses-Courses,Courses-Courses,Courses-Courses,Courses-Courses,Pricing-Courses,Courses-Courses,Courses-Career track certificate,Career track certificate-Career track certificate"
20355,4285452,monthly,"Log in-Log in,Log in-Log in,Log in-Log in,Homepage-Log in"
20355,4285577,monthly,Checkout-Checkout
22679,3647017,annual,"Coupoun-Coupoun,Coupoun-Coupoun,Coupoun-Coupoun,Coupoun-Coupoun,Coupoun-Coupoun,Coupoun-Coupoun"
22679,3648373,annual,"Coupoun-Coupoun,Coupoun-Coupoun"
23292,3079160,annual,"Log in-Log in,Log in-Log in,Log in-Log in,Log in-Log in,Log in-Log in,Log in-Log in,Log in-Log in,Log in-Log in,Log in-Log in,Log in-Log in,Log in-Log in"
23292,3079551,annual,"Log in-Log in,Log in-Log in,Log in-Log in,Homepage-Log in"
23292,3192980,annual,"Log in-Log in,Log in-Log in,Log in-Log in,Log in-Log in,Homepage-Log in,Log in-Log in"
23292,3803039,annual,"Log in-Log in"
23292,4723711,annual,"Coupoun-Coupoun,Coupoun-Coupoun,Coupoun-Coupoun,Coupoun-Coupoun,Coupoun-Coupoun,Coupoun-Coupoun,Coupoun-Coupoun"
23292,4723763,annual,"Log in-Log in,Homepage-Log in"
23292,4723779,annual,"Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout"
23292,4826927,annual,"Log in-Log in,Log in-Log in,Log in-Log in"
23292,4826932,annual,"Checkout-Checkout,Checkout-Checkout"
24414,3634177,annual,Coupoun-Coupoun
24414,3634180,annual,Coupoun-Coupoun
31705,3591399,annual,"Log in-Log in,Log in-Log in,Homepage-Log in"
31705,3591408,annual,"Log in-Log in,Log in-Log in,Log in-Log in,Log in-Log in"
31705,3591431,annual,"Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout,Checkout-Checkout"
31705,3592763,annual,Checkout-Checkout
31705,3592778,annual,"Checkout-Checkout,Checkout-Checkout,Checkout-Checkout"
31705,3592875,annual,"Checkout-Checkout,Checkout-Checkout"
34689,3728492,monthly,"Career Tracks-Courses,Courses-Courses,Courses-Courses,Homepage-Career Tracks,Career Tracks-Career Tracks,Courses-Courses,Courses-Sign up,Sign up-Log in,Log in-Log in"
34689,3782453,monthly,"Log in-Log in,Homepage-Log in"
34689,3959616,monthly,"Log in-Log in"
34689,3969165,monthly,Checkout-Checkout
34912,3611156,annual,"Log in-Log in,Log in-Log in,Log in-Log in"
34912,3611166,annual,"Checkout-Checkout,Checkout-Checkout,Checkout-Checkout"
37614,2960407,annual,"Log in-Log in,Log in-Log in,Log in-Log in"
37614,2960417,annual,Checkout-Checkout
37614,3229791,annual,"Homepage-Courses,Courses-Pricing"
37614,3578314,annual,"Homepage-Pricing,Homepage-Homepage,Career Tracks-Sign up,Homepage-Career Tracks"
37614,3581347,annual,"Coupoun-Coupoun,Coupoun-Coupoun,Coupoun-Coupoun"
37614,3581355,annual,"Checkout-Checkout,Pricing-Checkout"
37614,3585373,annual,Pricing-Checkout
37614,3592447,annual,"Career Tracks-Career Tracks,Career Tracks-Career Tracks,Homepage-Career Tracks,Homepage-Homepage,Career Tracks-Career Tracks,Career Tracks-Career Tracks,Career Tracks-Career Tracks,Homepage-Career Tracks,Career Tracks-Pricing,Career Tracks-Pricing"
37614,3597973,annual,"Other-Other,Other-Other,Homepage-Other,Other-Other"
37614,3601797,annual,"Log in-Log in,Homepage-Log in,Log in-Log in,Log in-Log in"
37614,3601812,annual,"Checkout-Checkout,Checkout-Checkout"
37614,3610272,annual,"Log in-Log in,Log in-Log in,Log in-Log in,Log in-Log in,Homepage-Log in"
